ITEM: TIMESTEP 
30000
ITEM: NUMBER OF ATOMS
95
ITEM: BOX BOUNDS pp pp pp
0 5.31329
0 5.31329
0 5.31329
ITEM: ATOMS type xu yu zu id mol 
1 7.53937 -3.50125 2.51545 1 1 
1 7.5983 -3.92454 3.28743 2 1 
1 7.54284 -4.05226 4.16003 3 1 
1 6.95036 -4.67218 4.37094 4 1 
1 6.5074 -5.30644 4.60063 5 1 
1 6.12795 -5.67725 5.19707 6 1 
1 6.35539 -6.44412 5.50752 7 1 
1 6.37072 -7.09691 5.90341 8 1 
1 6.8371 -7.69326 6.44559 9 1 
1 7.03837 -8.24359 7.1176 10 1 
1 -6.08761 1.10766 -2.34065 11 2 
1 -6.00214 1.155 -3.22784 12 2 
1 -5.86172 0.917813 -3.9227 13 2 
1 -6.06865 0.877771 -4.66248 14 2 
1 -5.83726 0.73036 -5.5177 15 2 
1 -5.31188 0.943835 -6.22815 16 2 
1 -4.48418 1.28491 -6.04092 17 2 
1 -4.00928 2.03438 -6.03496 18 2 
1 -3.28608 2.41192 -6.10333 19 2 
1 -3.18916 3.34492 -5.93426 20 2 
1 20.0607 7.34699 3.29707 21 3 
1 19.9812 7.9591 3.87695 22 3 
1 19.8823 8.67789 4.47242 23 3 
1 19.6049 9.51081 4.86162 24 3 
1 19.5009 10.0407 5.51115 25 3 
1 18.8728 10.5979 5.80148 26 3 
1 18.2658 11.0391 6.17581 27 3 
1 17.6551 11.3213 6.6754 28 3 
1 16.9066 11.0838 6.73663 29 3 
1 16.1996 10.6252 6.94914 30 3 
1 -14.1226 0.639616 2.3465 31 4 
1 -14.4626 -0.0124144 2.52699 32 4 
1 -14.961 -0.338927 3.09684 33 4 
1 -15.3082 -0.750539 3.80387 34 4 
1 -16.1531 -0.900916 3.94103 35 4 
1 -16.9986 -0.795441 3.85102 36 4 
1 -17.8009 -0.898821 3.56559 37 4 
1 -18.4807 -1.37579 3.44951 38 4 
1 -19.3196 -1.36445 3.40135 39 4 
1 -20.0652 -1.34077 3.01411 40 4 
1 8.57846 18.9226 -4.38986 41 5 
1 7.93092 18.2677 -4.52741 42 5 
1 7.3374 17.6844 -4.71999 43 5 
1 6.6369 17.0773 -4.79963 44 5 
1 6.10949 16.4908 -4.97861 45 5 
1 5.65716 15.8712 -4.62035 46 5 
1 5.61113 15.1225 -4.24431 47 5 
1 5.57854 14.5726 -3.59965 48 5 
1 5.75672 13.8153 -3.39113 49 5 
1 6.07338 13.1758 -2.90174 50 5 
2 0.570036 0.241126 0.513814 51 0 
2 1.0599 0.844169 0.424172 52 0 
2 4.67363 0.804065 0.2232 53 0 
2 1.67386 1.44099 0.553481 54 0 
2 2.02058 0.553639 1.11231 55 0 
2 2.32087 2.03617 0.689593 56 0 
